Name,Diameter,Lat,Lon,LonE
Azophi A,28300,-24.43,11.18,11.18
Vieta T,28290,-32.39,-57.93,302.07
Hansteen E,28280,-10.62,-50.6,309.4
Maclaurin L,28280,-1.41,71.48,71.48
Encke,28270,4.57,-36.68,323.32
Bergstrand J,28260,-20.23,178.03,178.03
Bondarenko,28260,-17.24,136.89,136.89
Poinsot P,28260,76.64,-149.95,210.05
Marco Polo,28250,15.52,-2.05,357.95
Polybius C,28250,-22.08,23.49,23.49
Geiger Y,28240,-12.44,158.1,158.1
Anderson E,28230,16.98,173.53,173.53
Chappell T,28210,54.51,179.06,179.06
Pentland B,28210,-66.18,13.93,13.93
Daniell,28200,35.42,31.16,31.16
Tikhomirov J,28200,21.03,165.76,165.76
Gutenberg E,28190,-8.22,42.42,42.42
Mallet A,28190,-45.99,53.98,53.98
Parrot G,28190,-17.43,2.54,2.54
Lubiniezky A,28160,-16.51,-25.68,334.32
Nicolai P,28160,-43.22,29.63,29.63
Sarton Z,28160,51.35,-121.02,238.98
Hayford,28150,12.68,-176.45,183.55
Ingalls M,28110,23.73,-153.2,206.8
Marci B,28110,24.51,-166.74,193.26
Heron,28100,0.65,119.88,119.88
Moiseev S,28090,8.64,100.68,100.68
Peirescius G,28090,-48.1,67.78,67.78
Reimarus T,28080,-48.33,63.43,63.43
Tannerus,28070,-56.44,21.92,21.92
Wohler,28070,-38.25,31.35,31.35
Marco Polo P,28060,16.97,-0.32,359.68
Idel'son L,28040,-83.99,118.56,118.56
Paschen G,28040,-14.29,-135.72,224.28
Piazzi C,28040,-37.15,-62.75,297.25
Baco K,28030,-54.08,17.62,17.62
Borman V,28010,-37.63,-151.4,208.6
Hirayama S,28010,-6.47,92.34,92.34
Phocylides F,28000,-54.75,-57.58,302.42
Barrow C,27990,73.02,11.12,11.12
Ginzel L,27990,13.07,97.8,97.8
Artem'ev L,27970,7.96,-144.2,215.8
Sommering,27970,0.19,-7.53,352.47
Guillaume B,27930,47.17,-172.47,187.53
McMath P,27910,13.31,-168.78,191.22
Abel D,27900,-37.67,86.45,86.45
Deluc C,27870,-51.49,0.85,0.85
Lodygin C,27870,-15.97,-145.13,214.87
Clavius D,27850,-58.82,-12.43,347.57
Gemma Frisius Y,27840,-37.56,13.53,13.53
Abel A,27830,-36.31,85.8,85.8
Lundmark D,27820,-38.37,154.62,154.62
Roche V,27810,-38.98,129.99,129.99
Xenophanes F,27800,56.69,-73.46,286.54
Erro D,27780,6.95,100.52,100.52
Carrington,27770,43.97,62.04,62.04
Gamow A,27770,67.13,148.25,148.25
Zhukovskiy U,27770,8.51,-173.29,186.71
Street H,27760,-48.38,-12.25,347.75
Kirchhoff F,27750,31.47,40.8,40.8
Manzinus B,27710,-63.7,21.12,21.12
Merrill X,27710,76.7,-120.67,239.33
Censorinus C,27700,-3.09,34.15,34.15
Alpetragius W,27680,-17.95,-5.96,354.04
Gemma Frisius D,27670,-34.36,10.9,10.9
Konoplev,27670,-28.16,-124.37,235.63
La Caille E,27660,-23.45,2.75,2.75
Schubert H,27660,1.64,76.03,76.03
Schubert E,27620,4.25,78.43,78.43
Barocius G,27610,-42.52,21.03,21.03
Emden M,27610,60.8,-176.99,183.01
Bayer Y,27590,-49.23,-35.87,324.13
Lindblad Y,27590,72.72,-101.15,258.85
Spencer Jones K,27580,10.35,167.3,167.3
Hoffmeister Z,27560,17.68,136.7,136.7
Seidel U,27560,-32.43,150.36,150.36
Bridgman E,27550,44.08,141.84,141.84
Zucchius A,27550,-61.81,-56.27,303.73
H. G. Wells X,27540,43.14,121.39,121.39
Chaplygin Y,27530,-2.71,149.64,149.64
Stein M,27520,3.83,178.84,178.84
Racah J,27500,-16.55,-177.57,182.43
Raimond Q,27500,11.66,-162.09,197.91
Rittenhouse,27500,-74.25,107.07,107.07
Biot B,27490,-20.43,49.58,49.58
Becvar Q,27480,-3.15,124.31,124.31
Pascal F,27470,75.66,-76.21,283.79
Bouvard D,27460,-42.76,-80.66,279.34
Boguslawsky N,27450,-73.86,32.88,32.88
Poisson J,27450,-35.02,8.3,8.3
Kimura,27440,-56.82,118.38,118.38
Barrow A,27380,70.56,3.86,3.86
Buch C,27380,-37.47,17.25,17.25
Doppler M,27370,-15.13,-159.89,200.11
Foster H,27370,23.02,-139.58,220.42
Brouwer P,27360,-38.91,-126.63,233.37
Parrot V,27350,-13.25,0.8,0.8
